Rep_333_1_IN,Rep_333_1_IP
0.218894,0.314223
89.1224,252.173
706.3,1153.26
12.7197,30.8031
2.47633,7.88454
0.438757,0.0374597
0.702397,0.728976
60.8194,279.828
45.3642,8.34876
1.46587,0.467238
2.09423,0.578085
147.544,595.703
8.42498,9.85402
1.04853,0.108353
0.0639927,0
26.7187,8.93484
33.0461,44.8295
3.1699,1.09343
0.717924,1.80783
7.55035,3.62141
2.67391,1.49605
288.032,300.484
58.7004,79.5615
26.3244,35.769
8.03158,11.8218
6.61488,24.814
0.0176467,0
20.5333,42.2136
1.60059,1.50385
0.0159397,0
6.97394,10.0859
1.14318,3.63027
0.961581,0.279278
3.3575,3.89154
20.7066,20.2414
0,0
0,0
4.02892,5.59928
9.81177,7.20205
7.18972,14.2665
43.563,5.95024
32.8297,19.2854
4.47305,2.27781
2.74749,3.61329
0,0
0.0488053,0
0.0121651,0
0.775106,0
0.556793,0.158402
0,0
0,0
12.2328,26.4527
7.95934,17.8687
0.518148,0.645889
11.0315,7.57899
0.0320218,0
33.1067,97.5249
9.31132,11.8825
6.59216,9.04621
3.80818,5.83997
9.89929,10.5919
0.016793,0
0.0400586,0.00782054
113.626,176.974
19.7204,31.4702
20.2511,74.1685
1.84416,2.8339
1.65928,1.00624
309.314,681.998
2.47016,2.46622
2.47829,4.2602
8.37374,42.4173
128.027,350.263
1.77073,2.22496
0,0
84.4321,136.767
2.48677,3.67891
14.4657,58.2268
60.648,114.704
57.0584,62.5395
5.29565,8.77871
11.7827,10.3158
0,0
384.949,200.462
0.902047,2.69704
17.3468,23.7787
66.3233,89.5473
1.12693,2.29424
28.4048,48.3603
22.5935,31.4883
20.2307,50.0711
5.64057,3.78616
29.7325,32.9787
118.809,269.849
0,0
0.647232,0.550114
111.207,174.714
109.517,478.096
1.59523,3.05076
0.514887,0.394022
0.298895,0.380676
0,0
0.0619462,0
16.5713,45.9258
6.03206,11.0767
9.87536,13.1382
32.6586,9.67799
0,0
3.40283,9.18273
0.270088,1.46444
59.5266,33.6971
0.0233897,0
1.29089,0
16.4757,48.2807
0.187664,0.177802
2.96933,4.1212
0.380649,0
46.0128,134.064
0.146329,0.46222
7.12486,11.813
62.1638,91.0059
14.4156,24.6691
0,0
60.3644,94.9385
39.3495,42.9552
0.292807,0
193.605,393.737
5.04289,4.35208
4.48762,8.59868
0.0295329,0.0648003
10.4976,5.9387
12.8969,34.039
0.980775,4.53818
4.91265,1.28482
5.80414,8.76747
1.74707,3.62092
48.6813,33.1209
9.45137,1.00482
193.321,337.138
93.2558,160.901
5.11237,10.057
3.10478,0.392785
79.2118,338.182
52.3558,115.252
69.9193,140.522
22.8992,69.5577
0.156195,2.55891
18.1387,23.3922
70.8188,139.435
6.48364,9.00603
4.39101,6.92106
2.34362,2.78107
15.8349,33.8367
6.37078,7.91386
164.041,172.243
28.2267,42.048
75.4346,10.0403
0.0890111,0
7.51733,9.46015
0,0.104287
271.705,453.959
579.759,825.575
0,0
5.30121,13.5585
2.48905,3.04557
0,0
9.08152,38.5227
72.8686,153.132
1.6168,1.59489
1.18587,2.34448
45.3357,41.1345
51.7571,220.577
1.41467,0.981949
1.80498,4.81581
3.67891,4.2552
16.7413,33.0717
113.222,211.475
8.02945,19.6223
0.256996,0.10807
14.6538,4.0294
14.4638,21.6296
15.6934,28.9396
77.4985,195.874
2.93165,6.4592
0.20518,0.87669
3.33374,2.59311
36.8642,110.476
539.356,869.453
51.6504,123.39
3.95257,4.57783
54.7106,8.28181
1.7989,0.155037
7.19048,8.08225
23.3009,46.2362
0.169434,0.16565
50.9499,130.361
0.0367898,0
55.8845,79.7103
0,0
39.9016,75.9779
0.469676,0.354719
60.696,9.19487
9.12772,1.17985
0,0
0.0568184,0
12.361,17.0955
20.7201,12.9467
595,1011.55
368.853,687.97
331.62,696.899
7.21463,7.34994
96.8303,126.006
10.15,6.95962
9.64486,3.61891
6.02709,6.44234
0,0
0,0
62.768,123.876
0,0
0.383809,0.281143
26.2265,36.3747
11.7702,18.1573
0,0
313.704,626.628
0,0.328705
13.2344,23.4044
4.70694,2.92679
3.4623,0.735816
495.939,1384.29
15.3386,33.5597
4.7432,8.53941
0,0
0.723748,0
8.96892,9.15004
10.4839,7.81733
31.7162,68.8017
28.1371,66.3313
35.093,37.7907
0.931318,4.10546
0,0
0,0.0228225
0.285962,0.811883
2.74584,3.63617
0.052243,0.0283505
0,0
0.103794,0
22.4017,4.05634
18.0212,30.088
0.156451,0
0.316842,0.379673
8.23634,7.37397
0.127668,0
0.0782362,0
11.3361,4.10807
43.2519,14.9365
8.02337,4.47684
24.5945,38.4282
0.150877,0
3.28751,2.92346
0.318733,0
1.15681,0.00895597
33.301,21.2194
2.21679,2.381
8.86587,5.83289
4.30547,1.56397
0,0
0,0
23.7298,60.8872
0.301097,0
304.896,1058.82
4.27257,2.06857
9.88757,14.5706
10.1886,10.9906
2.42171,3.24999
7.86493,8.93756
86.8565,128.315
0,0
10.586,3.6254
0,0
0.0923131,0.400852
3.73237,1.87313
2.72657,1.47322
0.180846,0.454841
20.9141,54.9888
5.16806,3.39504
10.6686,25.0866
0,0
8.05253,19.3046
0,0
0.36741,0
7.23608,13.3851
30.5354,2.30971
1.61307,0.894126
5.08151,8.08196
1.59381,0.977831
8.26611,6.61444
4.84457,4.73885
0.607391,1.72955
4.41032,3.95056
279.206,641.262
3.69514,1.20684
249.631,711.741
0,0.161915
9.14374,21.976
16.2522,26.5818
501.423,1043.72
0.0414117,0
11.8052,11.2381
0.0655598,0
23.2981,27.8657
0.338978,0.0223045
7.47227,15.0045
5.71652,14.0019
3.40135,2.68574
2.40248,0.844568
12.0187,23.6827
22.9248,71.4603
7.93976,1.13346
1.08756,2.5078
8.05785,9.06565
0.397225,0.280907
3.3544,5.92878
15.0699,34.2879
18.0809,27.3749
26.0797,43.1077
1.82563,0.611852
1.75742,0.396372
2.47168,0.0751515
2.33482,4.06237
4.93569,1.10484
1.98066,2.91026
50.6849,24.5966
14.9778,26.5788
6.55571,8.19496
0.838209,1.44171
0.0780346,0.0234561
