gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Myf5,0.302751,0,-1.79769e+308,0.109556,0,-1.79769e+308,0.312729,0.322782,0.0456495,0,0,0,0,0,0,0.181621,0.109306,-0.732556
Mkrn2,26.851,47.4316,0.820876,25.261,47.4914,0.910753,29.3778,38.9804,0.408024,33.3575,47.0575,0.496415,29.6042,40.5506,0.453923,32.5438,44.0541,0.436896
Pparg,0.349921,0.088414,-1.98468,0.219483,0.128832,-0.768625,0.245788,0.530924,1.11109,0.492105,0,-1.79769e+308,0.633718,0.704525,0.152811,0.349292,0.932611,1.41684
Raf1,13.7437,13.5375,-0.0218135,18.3412,19.2241,0.0678262,14.8079,15.8057,0.0940736,14.8674,16.871,0.182394,19.3918,22.1715,0.193261,14.8702,21.0187,0.499245
1-Sep,10.7492,1.99011,-2.43331,10.3211,3.61547,-1.51334,10.8887,1.75137,-2.63627,6.36259,2.88617,-1.14046,8.78081,3.3732,-1.38024,8.36528,3.15627,-1.40619
Pdgfb,1.94747,0.508374,-1.93764,2.01064,0.973584,-1.04628,2.61847,0.434432,-2.59152,1.72918,0.934806,-0.887348,1.66575,1.62038,-0.0398346,2.63602,1.28427,-1.03741
Acvrl1,0.886761,0.993057,0.16333,1.12543,0.486225,-1.21078,2.04282,1.74848,-0.224457,1.80835,0.514161,-1.81438,2.45878,1.57909,-0.638853,3.11838,3.99029,0.355696
Grasp,0.302439,0.0191048,-3.98464,0.164408,0.365874,1.15407,0.19994,0.300046,0.585616,0.236301,0.234201,-0.0128792,0.0391244,0.33215,3.0857,0.037738,0.340681,3.17433
Acvr1b,0.816955,2.16536,1.40628,0.824335,1.30787,0.665913,0.675102,0.756646,0.164512,0.666098,1.71921,1.36794,0.965002,1.9831,1.03915,1.01945,1.43383,0.492075
Tom1l2,72.1907,79.8425,0.145345,68.4112,81.9305,0.260168,73.1625,80.7342,0.142076,77.0599,113.347,0.556691,90.0887,113.173,0.329114,77.3735,111.757,0.530455
Gpa33,0,0,0,0,0,0,0.0111672,0,-1.79769e+308,0,0,0,0,0,0,0.477175,0,-1.79769e+308
Zfp385a,4.70522,15.3887,1.70954,9.3163,18.7105,1.00602,5.01105,16.9253,1.75599,3.4793,13.5146,1.95765,4.81975,19.7062,2.03162,4.60866,11.3602,1.30157
Itga5,0.56419,0.330023,-0.773612,0.486039,0.384712,-0.337296,0.755459,0.495445,-0.608629,0.306147,0.379283,0.309049,0.354822,0.836748,1.2377,0.39114,0.147127,-1.41063
Gabra2,8.05327,3.56616,-1.1752,7.58322,2.70659,-1.48633,6.44025,5.8894,-0.128997,10.0709,3.86874,-1.38025,6.72143,4.48085,-0.584996,8.11964,4.64283,-0.806411
Wdr77,27.9694,78.9238,1.49661,27.8508,59.5605,1.09664,29.7309,62.7151,1.07685,37.4716,75.0205,1.00148,42.3393,86.3274,1.02782,40.9182,74.2303,0.859264
Adora3,0.773166,0.0956432,-3.01504,0.70471,0.169973,-2.05172,1.3842,0,-1.79769e+308,0.756803,0.626906,-0.271667,1.32102,0.494291,-1.41822,1.06956,0.203326,-2.39515
Atp5f1,421.239,989.847,1.23257,384.089,977.707,1.34796,358.298,866.222,1.27358,469.327,933.165,0.991538,430.62,943.24,1.13121,522.497,891.422,0.770686
Sox9,9.06728,1.76158,-2.3638,8.81756,1.84624,-2.25579,9.68708,2.09702,-2.20772,5.87529,0.859489,-2.77311,5.24077,1.47291,-1.83111,5.02043,2.10982,-1.25069
Hnrnpd,21.6776,27.7682,0.357229,22.8584,27.5136,0.267417,24.9748,35.257,0.497438,22.8511,28.308,0.308946,23.5576,32.8547,0.47991,18.5026,26.8505,0.537218
Dynlt1c,17.7092,11.2657,-0.65256,13.3658,11.1532,-0.261087,16.9723,8.41219,-1.01263,16.2394,10.5931,-0.616383,16.8964,10.0295,-0.752463,16.9142,9.45529,-0.839045
C1d,103.516,220.942,1.09382,74.6483,229.103,1.61781,70.4607,197.984,1.4905,86.0982,170.212,0.983277,64.8762,186.483,1.52328,89.5163,172.8,0.948885
Gm2a,85.9065,28.2556,-1.60423,72.5063,23.8964,-1.60132,97.8712,29.7385,-1.71855,79.3914,22.757,-1.80268,73.9003,23.9754,-1.62403,69.7957,31.5845,-1.14392
Krit1,9.26596,11.2846,0.284339,9.7801,10.172,0.0566753,9.49755,13.0659,0.460178,8.17236,10.5073,0.362572,10.2928,12.6231,0.294426,8.54475,12.4905,0.547724
Clcn4-2,48.953,77.3109,0.659274,46.1491,61.9856,0.42563,43.9349,76.2719,0.795785,69.8271,81.4779,0.222622,68.5329,85.3414,0.316449,67.9663,104.849,0.625425
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sema4f,2.62986,5.91075,1.16835,2.64987,4.59188,0.79316,2.80263,5.8016,1.04967,2.87674,5.12835,0.834058,2.6899,5.93343,1.14131,2.41927,4.71724,0.96337
Hk2,2.42343,0.590651,-2.03667,2.6327,0.525991,-2.32343,3.25579,1.8672,-0.80213,3.55816,4.417,0.311934,2.33451,4.49206,0.944259,2.43237,0.964442,-1.33459
Myo18a,26.4345,22.542,-0.229805,26.1394,21.3427,-0.292483,33.9365,25.1695,-0.431162,29.2636,24.138,-0.277802,27.0005,24.5992,-0.134376,13.9327,27.5516,0.983662
Sez6,8.51245,8.0358,-0.083133,8.86197,8.86352,0.000251416,9.56485,8.58281,-0.156292,15.2329,9.62416,-0.662457,18.0732,18.048,-0.00201815,14.1888,16.8819,0.250728
Haao,1.29592,0.477465,-1.44051,1.91922,1.24948,-0.619194,2.27566,1.60687,-0.502032,1.85605,0.731641,-1.34303,2.7937,1.08705,-1.36176,2.49259,0.709523,-1.81273
Cd52,91.5396,14.4581,-2.66252,66.1284,9.55337,-2.79119,89.0103,11.6683,-2.93137,60.6979,10.1972,-2.57348,93.5463,14.9606,-2.64451,92.9437,7.84291,-3.5669
Abhd15,0.293017,0.4906,0.743563,0.608935,1.37296,1.17293,0.198485,0.751413,1.92058,0.3051,1.35919,2.15539,0.326034,1.08738,1.73777,0.453088,0.912529,1.01008
